#Network|Station|Latitude|Longitude|Elevation|SiteName|StartTime|EndTime
NC|C003|37.707207|-122.083969|74.0|Cottage Ct Castro Valley|2009-03-16T18:45:00|
NC|C004|37.844059|-122.217949|189.0|Swainland Rd., Oakland, CA|2009-03-31T19:00:00|
NC|C005|37.810753|-122.236076|187.0|Mandana Bl Oakland|2009-04-06T22:30:00|
NC|C006|37.591782|-122.058243|6.0|Lk Pillsbury D Fremont|2009-04-09T19:00:00|
NC|C007|37.895573|-122.262802|255.0|Forest Ln Berkeley|2009-04-23T19:30:00|
NC|C008|37.895649|-122.293594|4.0|Spokane Av Albany|2009-08-10T22:11:00|
NC|C010|37.944004|-122.009933|51.0|Sunflower Ct Concord|2009-05-14T21:48:00|
NC|C011|37.906422|-122.292381|30.0|Colusa Ave., El Cerrito, CA|2009-05-18T21:58:00|
NC|C012|37.926361|-122.312477|36.0|Glenmawr Ave., El Cerrito, CA|2009-05-28T16:20:00|
NC|C013|37.82383|-122.188614|403.0|Ascot Ln Oakland|2009-06-03T18:22:00|
NC|C015|37.559444|-121.993729|23.0|Bright Common Fremont|2009-06-23T22:41:00|
NC|C016|37.396355|-121.867027|33.0|Longford Dr San Jose|2009-06-24T17:12:00|
NC|C017|37.506489|-121.926201|34.0|S Grimmer Bl Fremont|2009-07-01T21:59:00|
NC|C018|37.979298|-122.117378|90.0|Christie Dr Martinez|2009-07-07T18:43:00|
NC|C020|37.800846|-122.20752|74.0|Rhoda Av Oakland|2009-07-08T18:54:00|
NC|C021|37.695004|-122.063759|68.0|Meadowview Dr Castro Valley|2009-07-14T17:09:00|
NC|C024|37.94334|-122.335838|25.0|33rd St Richmond|2009-08-25T21:10:00|
NC|C026|37.870518|-122.051353|89.0|Kell Ct Alamo|2009-09-21T18:24:00|
NC|C027|37.79351|-121.979668|135.0|Lawnview Cir Danville|2009-09-21T22:02:00|
NC|C028|37.850948|-122.24588|104.0|Eucalyptus Rd Berkeley|2009-09-29T18:59:00|
